round,policyVersion,editDistance,normalizedEditDistance,acceptanceMetric,feasible
0,1,96,0.9231,0.0769,True
1,2,76,0.7308,0.2692,True
2,3,62,0.5962,0.4038,True
3,4,70,0.6731,0.3269,True
4,5,60,0.5769,0.4231,True
5,6,52,0.5,0.5,True
6,7,50,0.4808,0.5192,True
7,8,52,0.5,0.5,True
8,9,44,0.4231,0.5769,True
9,10,40,0.3846,0.6154,True
10,11,34,0.3269,0.6731,True
11,12,36,0.3462,0.6538,True
12,13,28,0.2692,0.7308,True
13,14,26,0.25,0.75,True
14,15,20,0.1923,0.8077,True
15,16,16,0.1538,0.8462,True
16,17,10,0.0962,0.9038,True
17,18,0,0.0,1.0,True
18,18,0,0.0,1.0,True
19,18,0,0.0,1.0,True
